"250502971675365_1198159900242996","anyone have an extra ticket to the santa barbara game <$DAY$> thanks"
"250502971675365_1154796101246043","anyone with a truck willing to help move some stuff it will only take about  <$TIME$> minutes of your time on <$DATESTAMP$>  just needed to move my furniture to another apartment which is only a  <$TIME$> minute drive compensation to $ <$TIME$> "
"250502971675365_1143130062412647","http /www tedxcalifornia polytechnic state university com get to involved/ if you did not already know now you know looking for musicians entertainers art pieces and students who want to showcase there ideas feel free to reach out be seeing you <$DATE$>"
"250502971675365_1152144141511239","angie larson needs a truck to move a couch as soon as possible by  <$TIME$>  <$DAY$> $ <$TIME$> reward this is super short notice but if anyone can help that would be awesome "
"250502971675365_1171301342928852","is there anyone with a truck or large trunk back seat that could possibly move a desk from san luis obispo to los angeles san fran valley for me i will pay you "
"250502971675365_1174646132594373","does anybody have / know of a room available for rent i will be arriving back in town on the  <$TIME$> of october sorryitsnotaridesharepost"
"250502971675365_1188443657881287","i hope you did not miss shabang this past weekend"
"250502971675365_1151311961594457","super last minute but does anyone with a truck larger car want to help me pick up a kitchen table in arroyo grande <$DAY$> willing to pay "
"250502971675365_1150120908380229","is there any driver warning flakey driver list for drivers or even riders that bail last minute "
"250502971675365_1174991069226546"," "
"250502971675365_1167248003334186"," "
"250502971675365_1167225030003150"," "
"250502971675365_1191833627542290"," "
